customer_id,name,email,region,gender,age_group,account_type,signup_date
51,Reese Baker,reesebaker0@mail.com,Northeast,Male,25-34,Guest,2023-09-02
52,Quinn King,quinnkingy@inbox.com,Midwest,Male,25-34,Guest,2023-10-12
53,Jamie Patel,jamiepatelb@example.com,Northeast,Male,35-44,Premium,2025-05-19
54,Hayden Rivera,haydenriveraf@example.com,Northeast,Female,55-64,Registered,2024-04-04
55,Casey Adams,caseyadamsw@inbox.com,Northeast,Male,25-34,Registered,2023-02-08
56,Quinn Garcia,quinngarciakq8@example.com,Northeast,,25-34,Guest,2025-03-20
57,Morgan Rivera,morganriveraxci@domain.net,South,Male,35-44,Registered,2023-02-26
58,Quinn Young,quinnyoung@inbox.com,Northeast,Male,35-44,Registered,2023-07-22
59,Taylor Martin,taylormartin8@inbox.com,Midwest,Female,25-34,Registered,2023-09-29
60,Hayden Brown,haydenbrownfbc@example.com,West,Female,18-24,Registered,2024-02-07
61,Logan Adams,loganadamsl@domain.net,West,Female,65+,Premium,2023-12-04
62,Logan Young,loganyoung8hm@example.com,West,Male,18-24,Guest,2024-03-06
63,Cameron Baker,cameronbakerw@domain.net,Northeast,Male,35-44,Guest,2023-11-28
64,Morgan King,morgankingj8@inbox.com,Northeast,Male,55-64,Guest,2025-02-04
65,Jordan Walker,jordanwalker3@example.com,South,Female,25-34,Registered,2024-09-01
66,Casey Rivera,caseyriveraa@domain.net,South,Female,45-54,Premium,2025-04-14
67,Cameron Nguyen,cameronnguyeni@domain.net,South,Male,25-34,Registered,2023-03-22
68,Taylor Kim,taylorkimd@example.com,Midwest,Male,35-44,Guest,2023-03-15
69,Hayden Adams,haydenadamsku@example.com,Northeast,Male,55-64,Guest,2024-07-05
70,Skyler Walker,skylerwalkercj@mail.com,South,Male,25-34,Guest,2025-06-24
71,Morgan Clark,morganclarkbk@domain.net,South,Male,18-24,Guest,2025-06-23
72,Casey Kim,caseykim8dv@inbox.com,Northeast,Female,55-64,Guest,2025-06-05
73,Skyler Martin,skylermartin3@mail.com,Northeast,Male,65+,Guest,2025-01-19
74,Quinn Young,quinnyoungtxd@domain.net,Northeast,Male,45-54,Registered,2023-03-06
75,Sam King,samkingo5@inbox.com,South,Male,25-34,Premium,2023-11-16
76,Skyler Martin,skylermartin5qf@domain.net,Midwest,Female,35-44,Guest,2023-04-27
77,Alex Kim,alexkimm@mail.com,South,Female,18-24,Registered,2024-01-15
78,Sam Brown,sambrownlv@example.com,West,Female,55-64,Premium,2023-07-22
79,Logan Patel,loganpatelgh@mail.com,West,Female,25-34,Registered,2023-08-16
80,Logan Brown,loganbrown4ev@example.com,Midwest,Male,45-54,Registered,2023-02-12
81,Cameron Baker,cameronbakeri1@domain.net,Midwest,Male,25-34,Registered,2023-07-03
82,Reese Brown,reesebrownw@example.com,West,Male,25-34,Guest,2025-04-01
83,Taylor Hall,taylorhall03g@example.com,South,Male,35-44,Guest,2025-03-14
84,Hayden Wright,haydenwrightl@inbox.com,West,Male,45-54,Premium,2023-03-09
85,Avery Adams,averyadamsh@inbox.com,Northeast,Female,25-34,Guest,2024-06-02
86,Logan Brown,loganbrown48q@example.com,South,Male,25-34,Registered,2023-09-28
87,Casey Walker,caseywalker1p@inbox.com,West,Male,45-54,Guest,2024-01-13
88,Sam Kim,samkimbfw@example.com,Midwest,Male,65+,Registered,2024-11-10
89,Quinn Baker,quinnbakerdm@inbox.com,South,Male,25-34,Registered,2023-01-23
90,Morgan Baker,morganbaker@mail.com,South,Male,45-54,Registered,2023-05-18
91,Riley Adams,rileyadams36v@example.com,Northeast,Female,45-54,Guest,2023-09-28
92,Reese Rivera,reeseriveraw@example.com,Northeast,Male,35-44,Guest,2023-09-01
93,Jamie Nguyen,jamienguyenk@inbox.com,Midwest,Female,45-54,Guest,2024-09-19
94,Jordan Rivera,jordanriveraib@example.com,west  ,Female,35-44,Registered,2024-04-08
95,Drew Walker,drewwalker76d@inbox.com,South,Female,35-44,Registered,2024-06-19
96,Alex Brown,alexbrownvn@domain.net,Northeast,Female,65+,Registered,2023-12-01
97,Hayden Rivera,haydenriverawc@mail.com,West,Female,35-44,Registered,2024-08-07
98,Sam Nguyen,samnguyeny@example.com,Northeast,Female,25-34,Premium,2024-12-18
99,Jordan Patel,jordanpatel7dh@example.com,South,Female,25-34,Registered,2025-04-19
100,Casey Kim,caseykime@domain.net,Northeast,Female,45-54,Registered,2024-10-08
101,Jamie Wright,jamiewrights4w@inbox.com,Midwest,Male,25-34,Guest,2025-01-02
102,Alex Baker,alexbaker3ga@example.com,Northeast,Male,35-44,Guest,2024-08-02
103,Jamie Wright,jamiewrightm3j@domain.net,South,Male,35-44,Registered,2025-03-26
104,Sam Wright,samwrightld7@example.com,West,Male,25-34,Premium,2025-02-24
105,Taylor Baker,taylorbakerev@mail.com,mid-west,Male,35-44,Registered,2023-06-25
106,Jordan Young,jordanyoung1ue@domain.net,South,Female,35-44,Registered,2023-11-28
107,Reese Clark,reeseclarklsf@mail.com,Midwest,Female,55-64,Registered,2025-01-10
108,Drew Martin,drewmartin0p@mail.com,Northeast,Prefer not to say,25-34,Registered,2023-07-20
109,Jamie Garcia,jamiegarciai9k@domain.net,South,,25-34,Guest,2024-02-13
110,Alex Nguyen,alexnguyeny@domain.net,Northeast,Male,25-34,Registered,2024-12-18
111,Morgan Brown,morganbrownzf4@domain.net,South,Male,45-54,Guest,2024-03-05
112,Hayden Adams,haydenadams36@example.com,Northeast,Female,45-54,Registered,2024-11-01
113,Casey Kim,caseykimhra@domain.net,Northeast,Female,65+,Guest,2023-12-23
114,Skyler Hall,skylerhallcjo@inbox.com,Midwest,Male,45-54,Guest,2025-02-20
115,Alex Patel,alexpatel898@domain.net,Midwest,Female,25-34,Guest,2023-08-18
116,Reese Martin,reesemartinm@mail.com,Northeast,Male,45-54,Guest,2024-10-19
117,Quinn Adams,quinnadamsnjp@inbox.com,West,Female,45-54,Registered,2025-03-13
118,Sam Rivera,samrivera6fk@example.com,Northeast,Male,25-34,Guest,2024-05-06
119,Logan Kim,logankima8x@example.com,Northeast,Male,,Registered,2023-12-20
120,Avery Garcia,averygarcia6v2@mail.com,South,Male,35-44,Registered,2023-08-02
121,Cameron Martin,cameronmartinif@inbox.com,Midwest,Male,55-64,Registered,2023-04-30
122,Hayden Kim,haydenkim4@example.com,Midwest,Female,25-34,Guest,2024-09-05
123,Reese Rivera,reeseriveraxab@inbox.com,South,Male,35-44,Premium,2023-03-19
124,Drew Garcia,drewgarcianrs@example.com,South,Female,18-24,Registered,2024-10-02
125,Jamie Wright,jamiewright95m@inbox.com,Midwest,Female,55-64,Guest,2025-04-27
126,Jamie Rivera,jamierivera05@example.com,South,Male,25-34,Registered,2024-10-12
127,Jordan King,jordankingfyy@domain.net,mid-west,Female,35-44,Registered,2023-03-03
128,Taylor Martin,taylormartina5e@example.com,Northeast,Female,25-34,Registered,2025-06-09
129,Cameron Walker,cameronwalkerub@example.com,West,Male,18-24,Registered,2024-08-15
130,Casey Baker,caseybaker1t@mail.com,South,Male,18-24,Guest,2024-08-29
131,Taylor Rivera,taylorrivera5@example.com,Northeast,Male,18-24,Registered,2023-05-05
132,Riley Rivera,rileyrivera1ku@mail.com,Northeast,Male,45-54,Guest,2023-02-21
133,Hayden Adams,haydenadams@example.com,South,Female,18-24,Guest,2023-03-04
134,Logan Wright,loganwrightyf@domain.net,Midwest,Female,55-64,Registered,2023-11-20
135,Casey Young,caseyyoungkw@inbox.com,West,Female,35-44,Registered,2024-04-08
136,Drew Lee,drewlee1iq@domain.net,West,Male,35-44,Registered,2024-01-21
137,Alex Hall,alexhallf92@mail.com,Northeast,Female,55-64,Registered,2023-02-13
138,Hayden Young,haydenyoungvy@mail.com,South,Male,25-34,Registered,2025-01-09
139,Reese Martin,reesemartino@example.com,West,Male,25-34,Registered,2024-07-03
140,Avery Hall,averyhall24@inbox.com,Midwest,Male,25-34,Guest,2024-12-18
141,Morgan Kim,morgankimkv@example.com,West,Female,25-34,Registered,2023-03-25
142,Casey Kim,caseykim13@example.com,Northeast,Female,35-44,Guest,2025-03-08
143,Riley Walker,rileywalker86@domain.net,West,Prefer not to say,25-34,Guest,2023-02-05
144,Taylor King,taylorkingq@domain.net,West,Male,25-34,Guest,2023-04-02
145,Sam Young,samyoungj@example.com,West,Male,18-24,Guest,2023-12-27
146,Hayden Kim,haydenkimlj@example.com,Northeast,Male,25-34,Registered,2024-08-26
147,Casey Young,caseyyoungf@mail.com,Midwest,,25-34,Registered,2023-01-13
148,Morgan Patel,morganpatelw@domain.net,West,Female,25-34,Guest,2023-04-10
149,Reese Hall,reesehall6pf@domain.net,Midwest,Male,25-34,Guest,2025-01-23
150,Quinn Baker,quinnbakerf@domain.net,south ,Male,25-34,Registered,2023-11-22
151,Jordan Martin,jordanmartind@mail.com,South,Male,45-54,Premium,2024-03-18
152,Cameron Baker,cameronbakerfa3@inbox.com,West,Female,25-34,Premium,2023-01-17
153,Cameron Brown,cameronbrowngv3@mail.com,Midwest,Male,25-34,Guest,2025-05-13
154,Hayden Walker,haydenwalker0oz@example.com,Northeast,Female,,Guest,2023-11-12
155,Jordan Young,jordanyoungg@inbox.com,Midwest,Female,35-44,Guest,2025-02-20
156,Skyler Kim,skylerkimm@example.com,Northeast,Female,18-24,Registered,2024-04-01
157,Morgan Hall,morganhallst@domain.net,South,Female,55-64,Guest,2023-04-21
158,Riley Lee,rileyleed@example.com,Northeast,Female,25-34,Guest,2024-07-22
159,Jamie Walker,jamiewalkergjq@example.com,Northeast,Female,35-44,Registered,2023-04-16
160,Avery Garcia,averygarciao8a@domain.net,Northeast,Male,35-44,Registered,2023-05-31
161,Logan Baker,loganbakerz4@mail.com,South,,65+,Guest,2024-01-07
162,Drew King,drewkingdg@example.com,West,Female,65+,Premium,2023-09-13
163,Drew Baker,drewbaker5@example.com,Northeast,Male,35-44,Guest,2024-04-09
164,Avery Walker,averywalkerem@example.com,South,Male,,Guest,2023-01-14
165,Sam Garcia,samgarciaee@mail.com,Northeast,Female,55-64,Guest,2024-08-27
166,Cameron Baker,cameronbakerntn@mail.com,South,Female,45-54,Guest,2024-04-10
167,Cameron Rivera,cameronrivera7@domain.net,Midwest,Male,25-34,Registered,2024-01-28
168,Sam Clark,samclarkc5p@mail.com,Midwest,Male,55-64,Guest,2023-02-28
169,Jordan King,jordankingmm@mail.com,West,Female,35-44,Premium,2024-11-24
170,Jamie Walker,jamiewalker5a@mail.com,West,Female,45-54,Registered,2024-05-01
171,Casey Rivera,caseyriverayk@domain.net,Midwest,Male,55-64,Guest,2024-09-28
172,Skyler Wright,skylerwrightpg@domain.net,Midwest,Female,45-54,Guest,2025-02-02
173,Cameron Nguyen,cameronnguyenhp@mail.com,Midwest,Male,55-64,Guest,2025-05-13
174,Alex Lee,alexlee30p@domain.net,Northeast,Female,55-64,Registered,2024-07-05
175,Reese Young,reeseyoungouu@inbox.com,Northeast,Male,18-24,Guest,2023-08-23
176,Jamie Baker,jamiebakern@example.com,Midwest,Female,65+,Guest,2024-06-26
177,Skyler Patel,skylerpatelfks@domain.net,West,Male,55-64,Registered,2025-04-20
178,Jamie Baker,jamiebaker2@domain.net,Northeast,Female,25-34,Premium,2024-10-13
179,Cameron Lee,cameronlee6sf@inbox.com,West,Male,18-24,Guest,2023-06-29
180,Jamie Baker,jamiebakerw3@domain.net,South,Female,35-44,Guest,2023-03-19
181,Jordan Lee,jordanleecgw@example.com,South,Male,25-34,Guest,2023-02-03
182,Alex Kim,alexkim7@example.com,Northeast,Female,18-24,Guest,2023-09-02
183,Sam Hall,samhally@example.com,Northeast,Male,35-44,Guest,2025-06-27
184,Morgan Baker,morganbakera@domain.net,Midwest,Male,45-54,Guest,2023-06-27
185,Cameron King,cameronkingtn@domain.net,South,Female,25-34,Guest,2023-03-09
186,Reese Wright,reesewrightj@example.com,Midwest,Male,18-24,Registered,2023-09-05
187,Riley Adams,rileyadams8s@mail.com,Midwest,Male,25-34,Guest,2024-02-19
188,Morgan Adams,morganadamsse1@domain.net,South,Prefer not to say,35-44,Guest,2024-01-12
189,Taylor Walker,taylorwalkerg4l@example.com,South,Male,45-54,Guest,2023-01-16
190,Casey Patel,caseypatel3@inbox.com,South,Female,25-34,Guest,2023-11-15
191,Logan Wright,loganwrightb@inbox.com,Midwest,Male,45-54,Registered,2025-06-02
192,Skyler Baker,skylerbakerj@inbox.com,Northeast,Male,65+,Guest,2024-10-05
193,Morgan Kim,morgankimwg4@inbox.com,Midwest,Male,45-54,Guest,2025-01-26
194,Hayden Walker,haydenwalker5@inbox.com,West,Female,55-64,Guest,2025-02-21
195,Jordan Clark,jordanclarkwhs@domain.net,South,Male,45-54,Guest,2023-03-30
196,Skyler Baker,skylerbakerzps@example.com,Midwest,Female,45-54,Registered,2024-10-02
197,Riley Rivera,rileyriveraj8g@mail.com,South,Female,,Guest,2024-07-13
198,Skyler Baker,skylerbakers@mail.com,Northeast,Male,45-54,Registered,2024-05-09
199,Reese Nguyen,reesenguyenp7y@example.com,West,Male,55-64,Guest,2024-07-30
200,Riley Adams,rileyadamskd@example.com,West,Male,45-54,Guest,2024-05-13
201,Cameron Adams,cameronadams91@example.com,West,Male,35-44,Guest,2024-07-24
202,Taylor Hall,taylorhallm@inbox.com,West,Male,35-44,Guest,2023-07-14
203,Taylor Wright,taylorwright4k@example.com,South,Female,25-34,Guest,2023-05-22
204,Sam Brown,sambrownn@inbox.com,Northeast,Male,35-44,Guest,2024-10-24
205,Skyler Walker,skylerwalkerr@example.com,Northeast,Female,45-54,Registered,2024-12-23
206,Hayden Brown,haydenbrown9@domain.net,West,Female,25-34,Guest,2023-05-22
207,Reese Rivera,reeseriveracb@mail.com,Northeast,Male,55-64,Registered,2025-03-16
208,Quinn Hall,quinnhallhdl@inbox.com,mid-west,Female,25-34,Guest,2024-03-29
209,Reese Baker,reesebakeryvk@example.com,West,Female,65+,Premium,2024-09-26
210,Quinn Young,quinnyoung0yf@mail.com,Midwest,Male,25-34,Registered,2023-01-29
211,Skyler Baker,skylerbaker5@example.com,Midwest,Male,25-34,Guest,2025-06-30
212,Avery Garcia,averygarciasvc@example.com,Northeast,Female,25-34,Registered,2024-07-08
213,Quinn Patel,quinnpatel3o@example.com,West,Female,35-44,Registered,2023-04-28
214,Sam Martin,sammartinz@example.com,South,Male,45-54,Guest,2023-08-31
215,Jamie Adams,jamieadams5g0@example.com,Midwest,Male,55-64,Registered,2025-06-12
216,Drew Lee,drewleem@inbox.com,West,Male,45-54,Premium,2025-01-09
217,Drew Garcia,drewgarcia2@domain.net,Northeast,Male,25-34,Registered,2023-01-22
218,Hayden Garcia,haydengarcia5ty@mail.com,Northeast,Male,55-64,Registered,2024-11-16
219,Avery Adams,averyadamsw@example.com,Northeast,Male,35-44,Registered,2025-03-30
220,Logan Rivera,loganriverah6v@inbox.com,West,Male,25-34,Premium,2024-06-13
221,Jordan Martin,jordanmartinrii@inbox.com,Northeast,Male,35-44,Guest,2023-12-29
222,Jordan Nguyen,jordannguyenbu1@mail.com,South,Male,18-24,Premium,2024-01-01
223,Jamie Baker,jamiebakerc8m@mail.com,South,Male,25-34,Registered,2025-06-12
224,Skyler Clark,skylerclarknii@domain.net,Midwest,Male,18-24,Guest,2023-11-27
225,Skyler Nguyen,skylernguyenzj@mail.com,west  ,Male,25-34,Registered,2023-06-22
226,Drew Patel,drewpatel5cr@domain.net,West,Male,25-34,Registered,2024-04-24
227,Sam Walker,samwalkerhv@domain.net,West,Female,45-54,Guest,2023-01-21
228,Casey Martin,caseymartinegt@inbox.com,Northeast,Male,18-24,Guest,2025-04-15
229,Alex Hall,alexhallc@inbox.com,West,Male,45-54,Registered,2024-02-20
230,Quinn Kim,quinnkimu9@example.com,Northeast,Female,65+,Guest,2024-04-19
231,Jordan Baker,jordanbaker3p@example.com,South,Male,18-24,Guest,2023-05-27
232,Riley Hall,rileyhallks7@domain.net,Northeast,Female,35-44,Guest,2024-10-24
233,Riley Walker,rileywalkerw@example.com,Northeast,Female,45-54,Guest,2024-10-05
234,Casey Kim,caseykim42t@mail.com,South,Female,25-34,Registered,2025-01-25
235,Skyler Clark,skylerclarkd@inbox.com,Midwest,Male,55-64,Premium,2024-02-03
236,Alex Patel,alexpatelwij@domain.net,West,Female,25-34,Guest,2024-01-21
237,Avery Baker,averybaker2r7@mail.com,Northeast,Male,35-44,Guest,2025-06-19
238,Avery Nguyen,averynguyenu@domain.net,West,Male,35-44,Registered,2023-06-15
239,Jamie Young,jamieyoung9@example.com,Northeast,Male,35-44,Guest,2023-11-01
240,Alex Nguyen,alexnguyenxx@domain.net,West,Female,18-24,Guest,2024-11-30
241,Logan Hall,loganhallpda@mail.com,West,Male,45-54,Registered,2023-02-08
242,Drew Patel,drewpatel0se@mail.com,West,Male,25-34,Guest,2023-07-03
243,Skyler Rivera,skylerriveragjc@inbox.com,West,Female,55-64,Premium,2023-08-18
244,Jordan Martin,jordanmartinklo@domain.net,Midwest,Female,25-34,Guest,2024-12-05
245,Avery King,averykingav7@mail.com,Midwest,Male,25-34,Registered,2025-06-21
246,Avery King,averykingyl@example.com,West,Female,18-24,Registered,2023-02-04
247,Reese Hall,reesehall3@domain.net,Midwest,Male,45-54,Registered,2023-12-17
248,Logan Young,loganyoung1j4@mail.com,South,Female,35-44,Registered,2023-11-26
249,Skyler Rivera,skylerriveray@inbox.com,South,Male,45-54,Guest,2023-07-29
250,Riley Adams,rileyadamso@domain.net,Northeast,Female,45-54,Premium,2023-11-26
251,Avery King,averykingzq@inbox.com,Northeast,Female,35-44,Registered,2023-04-01
252,Hayden Brown,haydenbrownju@inbox.com,South,Female,25-34,Registered,2023-09-01
253,Alex Walker,alexwalkers@domain.net,Northeast,Female,25-34,Guest,2023-09-05
254,Hayden Patel,haydenpatelb1@domain.net,Northeast,Female,35-44,Guest,2023-02-14
255,Quinn Baker,quinnbakerx@inbox.com,South,Male,25-34,Registered,2024-09-25
256,Drew Patel,drewpatelv@example.com,Northeast,Male,35-44,Premium,2024-10-20
257,Reese Adams,reeseadamsiht@example.com,South,Prefer not to say,25-34,Guest,2024-02-12
258,Cameron Hall,cameronhall4@domain.net,South,Male,25-34,Guest,2025-04-17
259,Jamie Adams,jamieadams35@mail.com,Northeast,Female,35-44,Guest,2024-12-08
260,Riley Hall,rileyhallxk@domain.net,Midwest,Male,65+,Guest,2023-09-26
261,Logan Baker,loganbakerb@mail.com,South,Male,25-34,Guest,2024-07-06
262,Skyler Adams,skyleradamslto@example.com,South,Male,55-64,Guest,2024-04-12
263,Drew Kim,drewkimq5c@domain.net,Northeast,Male,45-54,Registered,2024-08-29
264,Quinn Garcia,quinngarciahz@mail.com,Northeast,Male,35-44,Guest,2025-01-08
265,Cameron Martin,cameronmartino@example.com,South,Female,45-54,Registered,2024-04-21
266,Avery Adams,averyadams2zz@mail.com,South,Male,45-54,Guest,2025-05-06
267,Cameron Walker,cameronwalkerfk@inbox.com,Midwest,Male,45-54,Premium,2024-02-05
268,Taylor Martin,taylormartin7sk@mail.com,Midwest,Male,45-54,Guest,2025-04-28
269,Skyler Lee,skylerleef@example.com,South,Female,18-24,Registered,2025-06-03
270,Avery Clark,averyclarkg@inbox.com,South,Female,18-24,Guest,2023-07-19
271,Skyler Adams,skyleradams0@domain.net,Midwest,Male,18-24,Registered,2025-04-08
272,Casey Brown,caseybrown4c0@domain.net,South,Male,35-44,Guest,2024-10-24
273,Sam Young,samyoungd@inbox.com,Northeast,Male,55-64,Registered,2024-05-06
274,Morgan Garcia,morgangarcia8k@inbox.com,Northeast,Female,25-34,Guest,2024-08-05
275,Jamie Nguyen,jamienguyenuyi@domain.net,West,Female,25-34,Guest,2023-04-19
276,Sam Nguyen,samnguyenuiv@example.com,West,Male,45-54,Guest,2024-08-06
277,Jordan Clark,jordanclark3@inbox.com,Northeast,Male,25-34,Registered,2023-06-28
278,Reese Brown,reesebrown2@mail.com,Northeast,Male,35-44,Guest,2023-09-08
279,Riley Martin,rileymartinsl@example.com,Northeast,Male,65+,Premium,2025-03-21
280,Taylor Patel,taylorpately0@mail.com,Northeast,Female,45-54,Guest,2025-01-04
281,Riley Walker,rileywalkernx@mail.com,West,Female,45-54,Registered,2025-04-01
282,Cameron Garcia,camerongarciair6@domain.net,Northeast,Female,45-54,Registered,2023-09-03
283,Jordan King,jordankingx@example.com,South,Female,45-54,Guest,2024-01-24
284,Drew Baker,drewbakerft@inbox.com,west  ,Female,65+,Registered,2024-05-01
285,Taylor Young,tayloryoungx3@domain.net,Midwest,Male,25-34,Premium,2023-07-11
286,Casey Martin,caseymartin6v@mail.com,South,Female,25-34,Guest,2023-06-04
287,Logan Wright,loganwrighta4d@domain.net,Midwest,Female,65+,Guest,2025-04-30
288,Morgan Adams,morganadams7@domain.net,South,Female,45-54,Premium,2025-01-22
289,Avery Baker,averybaker3cx@domain.net,Northeast,Male,65+,Guest,2024-11-08
290,Hayden Young,haydenyoung8@domain.net,N. East,Female,35-44,Registered,2023-06-05
291,Hayden Nguyen,haydennguyen0@domain.net,Northeast,Male,25-34,Premium,2024-06-04
292,Avery Clark,averyclark8z@domain.net,Midwest,Male,65+,Registered,2025-04-04
293,Avery Hall,averyhalll@example.com,Northeast,Female,45-54,Guest,2023-05-24
294,Sam Wright,samwrighthl@inbox.com,West,Female,45-54,Guest,2024-12-11
295,Reese King,reeseking4w2@domain.net,Northeast,Male,25-34,Premium,2023-10-01
296,Drew Kim,drewkimzo@domain.net,Northeast,Male,35-44,Registered,2025-02-09
297,Cameron Garcia,camerongarcia95@inbox.com,Northeast,Male,55-64,Registered,2023-12-29
298,Casey Baker,caseybakero7@example.com,West,Female,25-34,Guest,2025-01-10
299,Drew King,drewking7kh@domain.net,Midwest,Male,25-34,Registered,2024-06-28
300,Taylor Baker,taylorbakerh@mail.com,mid-west,Female,35-44,Registered,2023-10-08
301,Morgan Garcia,morgangarcia6z1@domain.net,West,Female,55-64,Registered,2025-06-18
302,Avery Martin,averymartin4@example.com,West,Male,35-44,Registered,2023-03-22
303,Drew Martin,drewmartint@example.com,Northeast,,25-34,Guest,2024-04-01
304,Reese Garcia,reesegarcia43@mail.com,Midwest,Female,65+,Registered,2023-08-24
305,Alex Clark,alexclarko8@example.com,south ,Male,18-24,Registered,2025-01-11
306,Quinn Clark,quinnclarkreq@example.com,South,Male,25-34,Registered,2024-11-04
307,Reese Martin,reesemartin12@example.com,Midwest,Male,25-34,Guest,2025-01-23
308,Jamie Walker,jamiewalkerm@example.com,Northeast,Female,25-34,Registered,2023-01-24
309,Quinn Lee,quinnleelb@inbox.com,West,Female,35-44,Registered,2024-10-04
310,Sam Young,samyoung96@domain.net,west  ,Female,25-34,Registered,2024-01-08
311,Drew Rivera,drewriveraa6z@inbox.com,West,Female,35-44,Guest,2024-02-03
312,Quinn King,quinnkinga@domain.net,Northeast,Male,25-34,Guest,2025-01-15
313,Taylor Adams,tayloradams16@domain.net,South,Female,55-64,Registered,2023-12-13
314,Alex Clark,alexclarku@domain.net,Northeast,Female,18-24,Registered,2023-07-24
315,Jordan Rivera,jordanriveraf6v@domain.net,Northeast,Female,65+,Registered,2024-04-25
316,Taylor Clark,taylorclarkd@example.com,South,Male,35-44,Registered,2023-08-18
317,Jamie Lee,jamieleebq@domain.net,Northeast,Male,55-64,Guest,2024-11-19
